Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					contractualMatrix		ContractualMatrix	0..*	A reference to a contractual matrix of elected terms/values (such as those published by ISDA) that shall be deemed to apply to the trade. The applicable matrix is identified by reference to a name and optionally a publication date. Depending on the structure of the matrix, an additional term (specified in the matrixTerm element) may be required to further identify a subset of applicable terms/values within the matrix.	common_domain_model:contractualMatrix
					masterAgreementType		MasterAgreementTypeEnum	0..1	Specification of the master agreement type.	common_domain_model:masterAgreementType
					masterConfirmationType		MasterConfirmationTypeEnum	0..1	The type of master confirmation executed between the parties.	common_domain_model:masterConfirmationType
					masterConfirmationAnnexType		MasterConfirmationAnnexTypeEnum	0..1	The type of master confirmation annex executed between the parties.	common_domain_model:masterConfirmationAnnexType
					otherAgreement		str	0..1	Definition of an agreement that is not enumerated in the CDM.	common_domain_model:otherAgreement
					brokerConfirmationType		BrokerConfirmationTypeEnum	0..1		common_domain_model:brokerConfirmationType
AgreementTerms		AgreementTerms	Specification of the content of a legal agreement.							
					agreement		Agreement	1..1	Specification of the standard set of terms that define a legal agreement.	common_domain_model:agreement
					clauseLibrary		Bool	0..1	Specification of whether the agreement terms have been negotiated using the clause library methodology.	common_domain_model:clauseLibrary
					counterparty	AgreementTerms_counterparty	Counterparty	1..*	Specification of the roles of the counterparties to the agreement.	common_domain_model:counterparty
AllCriteria		AllCriteria	Used to combine two or more Collateral Criteria using AND logic.							
					allCriteria	AllCriteria_allCriteria	CollateralCriteria	1..*		common_domain_model:allCriteria
AllDirectionRating		AllDirectionRating	Used to combine two or more Ratings and associated direction using AND logic.							
					allDirectionRating		DirectionRatingSet	1..*		common_domain_model:allDirectionRating
AllEligibilityToHoldCollateralCriteria		AllEligibilityToHoldCollateralCriteria	Used to combine two or more Criteria using AND logic.							
					allCriteria		EligibilityToHoldCollateralCriteria	1..*		common_domain_model:allCriteria
AmendmentEffectiveDate		AmendmentEffectiveDate	A class to specify the effective date of the Amendment to Termination Currency. This date can be specified as either an actual date, a specific date (e.g. the annex date) or as a custom provision.							
					date	AmendmentEffectiveDate_date	XSDDate	1..*	The effective date of the Amendment to Termination Currency when specified as an actual date.	common_domain_model:date
					specificDate		AmendmentEffectiveDateEnum	0..1	The effective date of the Amendment to Termination Currency when specified as relative to another date (e.g. the annex date).	common_domain_model:specificDate
					customProvision	AmendmentEffectiveDate_customProvision	str	0..1	The effective date of the Amendment to Termination Currency when specified as a non normalized custom provision.	common_domain_model:customProvision
AmountOfNetCapital		AmountOfNetCapital	The amount of net capital.							
					amountOfNetCapital		Money	0..1	The amount of net capital.	common_domain_model:amountOfNetCapital
AmountSchedule	Schedule	AmountSchedule	A class to specify a currency amount or a currency amount schedule.							
					currency	AmountSchedule_currency	str	1..*	The currency in which the amount schedule is denominated. The currency is specified outside of the actual schedule in order to be applied uniformly to it. The list of valid currencies is not presently positioned as an enumeration as part of the CDM because that scope is limited to the values specified by ISDA and FpML. As a result, implementers have to make reference to the relevant standard, such as the ISO 4217 standard for currency codes.	common_domain_model:currency
AncillaryEntity		AncillaryEntity	Holds an identifier for an ancillary entity, either identified directly via its ancillary role or directly as a legal entity.							
					ancillaryParty		AncillaryRoleEnum	0..1	Identifies a party via its ancillary role on a transaction (e.g. CCP or DCO through which the trade should be cleared.)	common_domain_model:ancillaryParty
					legalEntity		LegalEntity	0..1		common_domain_model:legalEntity
AncillaryParty		AncillaryParty	Defines an ancillary role enumerated value with an associated party reference. The product is agnostic to the actual parties involved in the transaction, with the party references abstracted away from the product definition and replaced by the AncillaryRoleEnum. The AncillaryRoleEnum can then be positioned in the product and this AncillaryParty type, which is positioned outside of the product definition, allows the AncillaryRoleEnum to be associated with an actual party reference.							
					role	AncillaryParty_role	AncillaryRoleEnum	1..1	Specifies the AncillaryRoleEnum that is associated to the party reference. An ancillary party is any involved party that is not one of the two principal parties to the transaction.	common_domain_model:role
					partyReference	AncillaryParty_partyReference	Party	1..*	Specifies the party, or parties, associated to the ancillary role.	common_domain_model:partyReference
					onBehalfOf		CounterpartyRoleEnum	0..1	Optionally specifies the counterparty that the ancillary party is acting on behalf of.	common_domain_model:onBehalfOf
AnyCriteria		AnyCriteria	Used to combine two or more Collateral Criteria using OR logic.							
					anyCriteria	AnyCriteria_anyCriteria	CollateralCriteria	1..*		common_domain_model:anyCriteria
AnyDirectionRating		AnyDirectionRating	Used to combine two or more Ratings and associated direction using OR logic.							
					anyDirectionRating		DirectionRatingSet	1..*		common_domain_model:anyDirectionRating
AnyEligibilityToHoldCollateralCriteria		AnyEligibilityToHoldCollateralCriteria	Used to combine two or more Criteria using OR logic.							
					anyCriteria		EligibilityToHoldCollateralCriteria	1..*		common_domain_model:anyCriteria
ApplicableRegime		ApplicableRegime	A class to specify the applicable regulatory regime(s) that parties to a legal agreement, such as the ISDA 2016 and 2018 CSA for Initial Margin, might be subject to.							
					regime	ApplicableRegime_regime	RegulatoryRegimeEnum	1..1	The applicable regulatory regime, as specified through an enumeration.	common_domain_model:regime
					additionalRegime		str	0..1	The additional regulatory regime as specified by the parties.	common_domain_model:additionalRegime
					regimeTerms		RegimeTerms	1..*	A class that is used by the ApplicableRegime and the AdditionalRegime classes to specify the terms that are specific to each party and regime which are referred to in the Regime Table as part of certain legal agreements, such as the ISDA 2016 and 2018 CSA for Initial Margin.	common_domain_model:regimeTerms
					additionalType		AdditionalTypeEnum	0..1		common_domain_model:additionalType
					additionalTerms		str	0..1	The bespoke Additional Type for the purposes of Covered Transactions (IM).	common_domain_model:additionalTerms
AppropriatedCollateralValuation		AppropriatedCollateralValuation	A class to specify the Valuation of Appropriated Collateral.							
