id,mappings,description
CSAValuationDate,,Specifies the date on which the value of collateral or exposure are calculated in accordance with the agreement.
Curve,,
Custodian,,A class to specify the custodian and custody account details for each party to the agreement.
CustodianElection,,A class to specify the custodian and custody account details for each party to the agreement.
CustodianEvent,,A class to specify the Custodian Event.
CustodianEventEndDate,,A class to specify the Custodian Event.
CustodianRisk,,A class to specify the Custodian Risk elections specific to a Credit Support Agreement.
CustodianRiskElection,,A class to specify the Custodian Risk.
CustodianTerms,,A class to specify the requirements applicable to the custodian with respect to the holding of posted collateral.
CustodyArrangements,,"Describes how posted collateral is held, maintained, and safeguarded by a custodian or third-party agent, in accordance with the terms of the governing agreement."
CustomisableOffset,,"A class to specify an offset either as a normalized [multiplier, period, dayType] or as a custom provision of type string."
CustomisedWorkflow,,"In its initial iteration, this class is meant to support the DTCC TIW workflow information."
DatedValue,,"Defines a date and value pair. This definition is used for varying rate or amount schedules, e.g. a notional amortisation or a step-up coupon schedule."
DateList,,List of dates.
DateRange,,A class defining a contiguous series of calendar dates. The date range is defined as all the dates between and including the start and the end date. The start date must fall on or before the end date.
DateRelativeToCalculationPeriodDates,,A data to:  provide the ability to point to multiple payment nodes in the document through the unbounded paymentDatesReference.
DateRelativeToPaymentDates,,A data to:  provide the ability to point to multiple payment nodes in the document through the unbounded paymentDatesReference.
DateRelativeToValuationDates,,A data to:  provide the ability to point to multiple payment nodes in the document through the unbounded paymentDatesReference.
DateTimeList,,List of dateTimes.
DebtEconomics,,Specifies selected economics of a debt security.
DebtRedemption,,Specifies the redemption features and whether the redemption right is exercised at the discretion of the issuer or the holder.
DebtType,,Specifies the type of debt security.
DeliverableObligations,,A class to specify all the ISDA terms relevant to defining the deliverable obligations.
DeliveryAmount,,A class to specify the application of Interest Amount with respect the Delivery Amount.
DeliveryDateParameters,,Specifies a specific date or the parameters for identifying the relevant contract date when the commodity reference price is a futures contract.
DemandsAndNotices,,"Specifies the address where the demands, specifications and notices will be communicated to for each of the parties to the agreement."
DerivInstrmAttrbts,,
DeterminationMethodology,,Specifies the method according to which an amount or a date is determined.
DeterminationRolesAndTerms,,"Defines the roles and related terms which document the agreement of parties about any determination requirements ; mostly about Extraordinary Events, without being necessarily restricted to such scope, as further specified in the particular product at stake e.g. for instance when Calculation Agent is mentioned as the Price Determination Method enumarated value, etc."
DigitalAsset,,"An Asset that exists only in digital form, eg Bitcoin or Ethereum, that is not backed by other Assets; excludes the digital representation of other Assets, eg coins or Tokenised assets."
DirectionRating,,"A logical container to hold a defined set of related data. In this case the collation of Ratings Agency, Rating value and an associated direction."
DirectionRatingMultiplier,,A logical container to hold a defined set of related data. In this case the collation of Ratings Information and associated exposure multiplier.
DirectionRatingSet,,"A logical container to hold a defined set of related data. In this case the collation of Ratings Agency, Rating value and an associated direction that are grouped by either AND or OR logic."
DirectOrRelativeTime,,Represents a time definition that can be either an absolute (direct) time or a time calculated relative to another referenced time. Either one directTime or one relativeTime should be provided
DiscountingMethod,,"A data defining:  discounting information. The 2000 ISDA definitions, section 8.4. discounting (related to the calculation of a discounted fixed amount or floating amount) apply. This type must only be included if discounting applies."
DisputeResolution,,A class to specify the election terms under which a party disputes the Value of any Transfer of Eligible Credit Support or Posted Credit Support.
DistributionAndInterestPayment,,A class to specify the Distributions and Interest Payment provisions applicable to the collateral agreement.
DividendApplicability,,The parameters which define whether dividends are applicable
DividendCurrency,,"A class to specify the currency in which the dividends will be denominated, i.e. either in the dividend currency or in a currency specified as part of the contract."
DividendDateReference,,"A class to specify the dividend date by reference to another date, with the ability to apply and offset. This class doesn't exist in FpML and is meant to simplify the choice constraint associated with the DividendPaymentDate class."
DividendPaymentDate,,"A class describing the date on which the dividend will be paid/received. This class is also used to specify the date on which the FX rate will be determined, when applicable."
DividendPayoutRatio,,"A class describing the dividend payout ratio associated with an equity underlier. In certain cases the actual ratio is not known on trade inception, and only general conditions are then specified."
DividendPeriod,,"Time bounded dividend payment periods, each with a dividend payment date per period."
DividendReturnTerms,,"A class describing the conditions governing the payment of dividends to the receiver of the equity return, with the exception of the dividend payout ratio, which is defined for each of the underlying components."
DividendTerms,,Information related to dividends and payments.
Document,,
DomesticCurrencyIssued,,
EarlyTerminationEvent,,A data to:  define the adjusted dates associated with an early termination provision.
EarlyTerminationProvision,,"A data defining:  an early termination provision for a swap. This early termination is at fair value, i.e. on termination the fair value of the product must be settled between the parties."
EconomicTerms,,"This class represents the full set of price-forming features associated with a contractual product: the payout component, the notional/quantity, the effective and termination date and the date adjustment provisions when applying uniformily across the payout components. This class also includes the legal provisions which have valuation implications: cancelable provision, extendible provision, early termination provision and extraordinary events specification."
ElectiveAmountElection,,A class to specify the party elective amounts which can be used for the purpose of specifying elections such as the ISDA CSA Threshold and Minimum Transfer Amount.
EligibilityQuery,,Query to check against an EligibleCollateralSpecification
EligibilityToHoldCollateral,,Specifies the conditions under which a party and its custodian(s) are entitled to hold collateral.
EligibilityToHoldCollateralCriteria,,Defines a set of Criteria required by the party and its custodian to hold the other party's Posted Collateral.
EligibleCollateralCriteria,,Represents a set of criteria used to specify eligible collateral.
EligibleCollateralElection,,Specifies the collateral posting obligations for the security provider party(ies).
EligibleCollateralSpecification,,Represents a set of criteria used to specify eligible collateral.
EligibleCreditSupport,,Specifies the collateral posting obligations of the security provider or security providers as specified in the corresponding agreement
EnforcementEvent,,A class to specify Enforcement Events specific to Security Agreements.
EntityIdentifier,,"Comprises an identifier and a source. The associated metadata key denotes the ability to associate a hash value to the EntityIdentifier instantiations for the purpose of model cross-referencing, in support of functionality such as the event effect and the lineage."
EquityAdditionalTerms,,Transaction AdditionalTerms that apply to Equity asset class.
EquityCorporateEvents,,A class for defining the merger events and their treatment.
EquityIndex,,"Specification of an index based on equity securities, e.g. the S&P 500."
EquityMasterConfirmation,,"Specification for General Terms and Elections of an Equity Master Confirmation that is applicable across multiple Equity confirmations and is referenced by each of these confirmations, an example of which being the 2018 ISDA CDM Equity Confirmation for Security Equity Swap."
